gene	betweenness_norm	eigenvector_norm	betweenness_tumor	eigenvector_tumor	diff_betweenness	diff_eigenvector	rank_bet	rank_eig	ensemble_score	final_rank	delta_betweenness	delta_eigenvector
PARK2	39562.5	0.114407	14744.5	0.13062	24818.0	0.01621300000000002	0.9995535714285714	1.0	0.9995535714285714	1	-24818.0	0.01621300000000002
EP300	14955.2	0.051937	51982.833333	0.044704	37027.633333000005	0.007232999999999996	1.0	0.9989955357142857	0.9989955357142857	2	37027.633333000005	-0.007232999999999996
NR2C2	5180.5	0.056841	37781.5	0.050768	32601.0	0.006073000000000002	0.9998883928571428	0.99765625	0.9975449044363839	3	32601.0	-0.006073000000000002
YWHAE	11433.666667	0.04181	2583.833333	0.048623	8849.833333999999	0.006813	0.9983258928571429	0.9986607142857142	0.9969888492506378	4	-8849.833333999999	0.006813
UBE2H	3350.833333	0.082453	9017.166667	0.072633	5666.333333999999	0.009819999999999995	0.9954241071428571	0.9996651785714286	0.9950908178212691	5	5666.333333999999	-0.009819999999999995
NTRK1	9452.0	0.08514	2650.5	0.091245	6801.5	0.006105000000000013	0.9969866071428571	0.9977678571428571	0.9947611906090561	6	-6801.5	0.006105000000000013
RPN1	14011.166667	0.037322	1176.0	0.042387	12835.166667	0.005065	0.9987723214285714	0.9952008928571429	0.9939791060467156	7	-12835.166667	0.005065
CDC42	5677.833333	0.0445	402.5	0.050667	5275.333333	0.006166999999999999	0.9946428571428572	0.9981026785714285	0.9927556999362245	8	-5275.333333	0.006166999999999999
PRNP	58154.5	0.059044	46312.833333	0.0637	11841.666666999998	0.004656000000000007	0.9985491071428572	0.99375	0.9923081752232144	9	-11841.666666999998	0.004656000000000007
HSPA5	12002.0	0.067099	7506.5	0.073724	4495.5	0.006624999999999992	0.9936383928571428	0.9985491071428572	0.9921967300103636	10	-4495.5	0.006624999999999992
APP	42232.833333	0.048064	10999.0	0.052262	31233.833333000002	0.004198	0.9997767857142857	0.9920758928571428	0.9918544473453443	11	-31233.833333000002	0.004198
HECTD1	11655.0	0.041787	25912.666667	0.037839	14257.666667000001	0.003948	0.9988839285714286	0.9909598214285714	0.9898538394850128	12	14257.666667000001	-0.003948
AR	6306.0	0.036333	29401.333333	0.032427	23095.333333	0.0039059999999999997	0.9994419642857143	0.9904017857142857	0.9898491061463648	13	23095.333333	-0.0039059999999999997
HNRNPL	25176.0	0.051728	20414.0	0.056772	4762.0	0.005044	0.9938616071428571	0.9950892857142857	0.9889810367506376	14	-4762.0	0.005044
PTEN	9276.833333	0.033725	5294.5	0.039205	3982.3333330000005	0.005479999999999999	0.9917410714285714	0.9962053571428572	0.9879777682557398	15	-3982.3333330000005	0.005479999999999999
HDLBP	4963.5	0.042975	610.5	0.047619	4353.0	0.004644000000000002	0.9935267857142858	0.9935267857142858	0.9870954739317603	16	-4353.0	0.004644000000000002
WWP2	4115.5	0.040892	171.0	0.046002	3944.5	0.005110000000000003	0.9916294642857143	0.9953125	0.986981201171875	17	-3944.5	0.005110000000000003
CIC	6422.5	0.029906	1004.833333	0.034004	5417.6666669999995	0.004098000000000001	0.9950892857142857	0.9917410714285714	0.9868709143813774	18	-5417.6666669999995	0.004098000000000001
TOP3B	11895.0	0.04104	19756.5	0.037383	7861.5	0.0036570000000000005	0.9979910714285715	0.9887276785714286	0.9867413952885843	19	7861.5	-0.0036570000000000005
PPP2R1A	1446.5	0.035713	7836.333333	0.031825	6389.833333	0.0038880000000000026	0.9964285714285714	0.9900669642857143	0.9865310108418367	20	6389.833333	-0.0038880000000000026
TGOLN2	13282.833333	0.036129	34805.5	0.032745	21522.666666999998	0.003383999999999998	0.9993303571428571	0.9863839285714285	0.9857234036192601	21	21522.666666999998	-0.003383999999999998
SUZ12	260.5	0.035447	3268.333333	0.029298	3007.833333	0.006148999999999998	0.9876116071428571	0.9979910714285715	0.9856275659677933	22	3007.833333	-0.006148999999999998
RPA1	431.0	0.131719	3118.5	0.122928	2687.5	0.008791000000000007	0.9859375	0.9994419642857143	0.9853873116629465	23	2687.5	-0.008791000000000007
DDX21	256.0	0.043869	2898.5	0.035482	2642.5	0.008386999999999999	0.9852678571428571	0.9993303571428571	0.984608079559949	24	2642.5	-0.008386999999999999
SMC1A	3226.066667	0.025729	21027.5	0.02251	17801.433333	0.0032189999999999996	0.9989955357142857	0.9848214285714286	0.9838322106186225	25	17801.433333	-0.0032189999999999996
RPN2	4775.833333	0.034482	733.5	0.038557	4042.3333329999996	0.004075000000000002	0.9919642857142857	0.9916294642857143	0.9836610132334184	26	-4042.3333329999996	0.004075000000000002
TRIM67	1222.5	0.173776	3905.5	0.167722	2683.0	0.006054000000000004	0.9858258928571428	0.9974330357142858	0.9832953129982462	27	2683.0	-0.006054000000000004
ERBB2	3711.5	0.027303	804.0	0.032635	2907.5	0.0053319999999999965	0.9870535714285714	0.9958705357142857	0.9829775689572704	28	-2907.5	0.0053319999999999965
LMBR1L	288.5	0.029242	4417.0	0.025502	4128.5	0.0037400000000000003	0.9926339285714286	0.9893973214285714	0.9821093500876914	29	4128.5	-0.0037400000000000003
TOPBP1	937.5	0.032056	4215.0	0.027639	3277.5	0.004417000000000001	0.9890625	0.9926339285714286	0.9817769949776786	30	3277.5	-0.004417000000000001
MECP2	7185.666667	0.049208	1908.0	0.052609	5277.666667	0.0034010000000000012	0.9947544642857142	0.9866629464285714	0.9814873707051179	31	-5277.666667	0.0034010000000000012
NEK4	1174.0	0.021604	5096.0	0.017987	3922.0	0.003617000000000002	0.9911830357142857	0.9881696428571428	0.9794569864078443	32	3922.0	-0.003617000000000002
RELA	3213.5	0.04085	979.0	0.046902	2234.5	0.006052000000000002	0.9815848214285714	0.9973214285714286	0.9789555763711735	33	-2234.5	0.006052000000000002
FUBP3	101.0	0.022161	3858.333333	0.018645	3757.333333	0.0035160000000000018	0.9908482142857142	0.9878348214285714	0.9787943688217473	34	3757.333333	-0.0035160000000000018
CLTC	546.333333	0.044511	2822.5	0.038851	2276.166667	0.005660000000000005	0.9819196428571428	0.9965401785714286	0.9785223762356505	35	2276.166667	-0.005660000000000005
RBM27	40.0	0.013152	4273.166667	0.009899	4233.166667	0.0032530000000000007	0.9930803571428571	0.9852678571428571	0.9784501554528061	36	4233.166667	-0.0032530000000000007
RRBP1	3116.0	0.022406	224.0	0.026371	2892.0	0.003965	0.9869419642857142	0.9910714285714286	0.9781299824617347	37	-2892.0	0.003965
